path,branch,replica,field,J2,D,chi,energy_per_site,chi_energy_shift,G0,G1,G2,delta,middle_fraction,clock_z6,texture,hours_budget
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p02\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.02,0.3,7,91,-0.4275189095262,2.1175489994806895e-07,-0.50977680200025,-0.312075296556,-0.14460138480095,0.3651754171993,0.5413877718289876,-0.09305159152844034,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p01\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.01,0.3,7,91,-0.4257776356776,1.600749999219886e-08,-0.49750810564125,-0.30565712765135,-0.1676407823934,0.32986732324784995,0.581600432867824,-0.18305762680972912,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,7,91,-0.4242753468306,2.0189499960743262e-08,-0.48947539147675,-0.24315804343705003,-0.24260269587219999,0.24687269560455002,0.9977504698788576,-0.9966181256231281,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.08,0.3,8,104,-0.4586030799771,6.994800000326151e-08,-0.1172640356026,-0.11725718249599999,-0.6693413722973,0.5520841898012999,0.9999875868450382,-0.9999813800364294,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.04,0.3,8,104,-0.4385877622034,5.27895899993247e-07,-0.16765593140245003,-0.16747916916105,-0.60718812234015,0.43970895317909997,0.9995980017233626,-0.9993967602460866,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.02,0.3,8,104,-0.430587771518,3.6911059997368767e-07,-0.20113856165879998,-0.2009141070695,-0.5577162926133999,0.3568021855439,0.9993709270895922,-0.9990557972842432,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.01,0.3,8,104,-0.4272846209712,3.275563000282311e-07,-0.2217377670744,-0.22165559327855,-0.524135629812,0.30248003653345,0.999728333159465,-0.9995923890549386,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,8,104,-0.4246139674826,7.385499000145401e-07,-0.24965245278135004,-0.2483539412366,-0.47655881082269996,0.22820486958609995,0.9943098867824111,-0.9914164483219787,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.08,0.3,8,104,-0.4538430345866,8.872325400033354e-06,-0.45197777370645004,-0.4517831893793,-0.023922612443174996,0.42805516126327503,0.00045457769175302146,0.9993178235949881,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.04,0.3,8,104,-0.4375951571203,5.002312000013109e-06,-0.44391706497370004,-0.44202880080275,-0.06135393034234,0.38256313463136005,0.004935823658935674,0.9925598412270975,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.02,0.3,8,104,-0.4303658363642,4.0084324999800636e-06,-0.43444269737839997,-0.4304567982114,-0.09518205656955499,0.339260640808845,0.011748781578367125,0.9821713985593573,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.01,0.3,8,104,-0.4271705634688,2.3317664000210847e-06,-0.42685544196334996,-0.41813451475040003,-0.1224950702244,0.30436037173895,0.02865329399856913,0.9558120667936157,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,8,104,-0.4245892992043,1.608783600004493e-06,-0.47546689445850004,-0.24808896653305001,-0.2521848558778,0.22737792792545003,0.9819864250584037,-0.9724987494691378,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.08,0.3,8,104,-0.4407016689297,3.626019999813934e-07,-0.2836356230941,-0.08222148695266,-0.57433512914945,0.49211364219678994,0.5907162109094771,-0.20336493175515902,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.04,0.3,8,104,-0.4315946403684,5.999040000315148e-07,-0.308022928591,-0.11804443282685001,-0.53138106462725,0.4133366318004,0.5403782748781616,-0.09078528553129392,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.02,0.3,8,104,-0.4277326693931,6.470960999815922e-07,-0.3161043538147,-0.14691875460905,-0.5030689560563001,0.35615020144725007,0.5249599789129747,-0.05614440247366876,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.01,0.3,8,104,-0.4260527106395,4.4560060002973856e-07,-0.31667670520515,-0.16850234232289998,-0.48527170743224995,0.31676936510934994,0.532232661352528,-0.0724900000983135,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,8,104,-0.4246131601965,3.523326999599341e-07,-0.2538407577686,-0.24434764301405,-0.4764289395791,0.23208129656505,0.9590957354381671,-0.9362023042008704,dimer-plaquette,26.0
